"STATE/UT","YEAR","DG/ ADG","IG","DIG","SSP/SP/ Ad.SP","ASP/ DySP","Insepctor","Sub Inspector","Asst. Sub Inspector","Head Constable","Below HC above Constable","Constables","TOTAL"
"RAJASTHAN","2006",9,29,7,236,457,775,2836,4268,8367,0,48404,65388
"SIKKIM","2006",4,7,6,37,38,68,180,246,332,817,1931,3666
"TAMIL NADU","2006",27,31,31,219,615,2424,6642,0,33999,10965,29287,84240
"TRIPURA","2006",3,5,4,28,149,194,812,420,1761,1778,15148,20302
"UTTAR PRADESH","2006",38,58,60,365,829,1188,12382,0,20517,0,117496,152933
"UTTARAKHAND","2006",6,3,3,21,76,134,656,0,2058,303,10267,13527
"WEST BENGAL","2006",23,49,29,130,370,1376,6663,11264,1508,3089,56070,80571
"TOTAL (STATES)","2006",266,432,416,2937,7030,18377,72772,72542,223470,88716,852967,1339925
"A & N ISLANDS","2006",0,1,2,2,12,39,140,212,503,0,1834,2745
"CHANDIGARH","2006",0,1,0,4,13,52,243,164,848,0,2738,4063
"D & N HAVELI","2006",0,0,0,1,1,1,12,2,46,0,154,217
"DAMAN & DIU","2006",0,0,1,0,2,3,10,6,34,0,166,222
"DELHI","2006",6,18,10,57,237,1064,3381,5379,14834,0,31447,56433
"LAKSHADWEEP","2006",0,0,0,1,1,5,13,17,63,0,210,310
"PUDUCHERRY","2006",0,1,1,3,14,51,92,79,397,0,1468,2106
"TOTAL (UTs)","2006",6,21,14,68,280,1215,3891,5859,16725,0,38017,66096
"TOTAL (ALL-INDIA)","2006",272,453,430,3005,7310,19592,76663,78401,240195,88716,890984,1406021
"ANDHRA PRADESH","2007",20,22,24,159,315,1175,3486,3036,13429,0,56952,78618
"ARUNACHAL PRADESH","2007",0,1,4,13,44,92,317,148,636,202,4315,5772
"ASSAM","2007",7,11,16,184,270,722,3310,1809,5853,3301,36566,52049
"BIHAR","2007",10,26,21,73,265,650,5583,2866,6881,0,39500,55875
"CHHATTISGARH","2007",8,16,14,78,261,430,732,1398,4950,0,22083,29970
"GOA","2007",1,1,1,14,17,58,193,174,762,0,3454,4675
"GUJARAT","2007",14,28,15,56,192,627,1957,7705,17239,0,44874,72707
"HARYANA","2007",11,11,18,47,162,519,1387,3594,6289,0,31069,43107
"HIMACHAL PRADESH","2007",11,13,16,23,126,229,500,982,2170,0,7767,11837
"JAMMU & KASHMIR","2007",2,13,19,187,317,695,2124,2903,10335,41408,3708,61711
"JHARKHAND","2007",7,17,10,42,165,425,2741,1573,5371,0,30147,40498
"KARNATAKA","2007",1,7,3,66,170,622,1762,2788,12019,0,35854,53292
"KERALA","2007",8,14,7,60,309,459,1581,1331,7705,0,32184,43658
"MADHYA PRADESH","2007",10,20,30,172,682,1332,3411,4359,14038,0,52772,76826
"MAHARASHTRA","2007",25,31,40,206,552,2334,7315,12323,30364,28028,68353,149571
"MANIPUR","2007",2,7,7,54,110,200,718,515,2321,30,12370,16334
"MEGHALAYA","2007",6,6,3,24,52,151,749,161,892,311,6809,9164
"MIZORAM","2007",1,1,3,25,105,187,527,457,1330,1039,4067,7742
"NAGALAND","2007",4,7,11,47,61,77,336,214,779,1166,7604,10306
"ODISHA","2007",5,11,9,158,172,625,1904,2265,3605,562,28956,38272
"PUNJAB","2007",11,17,25,192,407,769,2124,4304,11620,0,52458,71927
"RAJASTHAN","2007",17,34,19,79,564,879,2418,4170,8221,0,48117,64518
"SIKKIM","2007",4,10,6,18,56,71,178,181,362,756,1318,2960
"TAMIL NADU","2007",23,33,33,232,607,2444,7125,0,36750,10180,30546,87973
"TRIPURA","2007",3,6,4,51,135,264,765,521,1954,1726,16389,21818
"UTTAR PRADESH","2007",47,49,49,355,777,1462,10961,0,24976,0,112804,151480
"UTTARAKHAND","2007",6,3,3,21,81,135,530,0,2230,510,10385,13904
"WEST BENGAL","2007",23,43,39,103,352,1395,5707,11975,7,3465,56962,80071
"TOTAL (STATES)","2007",287,458,449,2739,7326,19028,70441,71752,233088,92684,858383,1356635
"A & N ISLANDS","2007",1,0,2,3,12,39,151,206,489,0,1902,2805
"CHANDIGARH","2007",0,1,0,4,13,52,243,164,848,0,2738,4063
"D & N HAVELI","2007",0,0,0,2,1,1,12,2,46,0,154,218
"DAMAN & DIU","2007",0,0,1,1,2,3,9,6,33,0,161,216
"DELHI","2007",6,18,12,55,253,1117,3649,5899,15420,0,32196,58625
"LAKSHADWEEP","2007",0,0,0,1,1,5,12,11,61,0,199,290
"PUDUCHERRY","2007",1,0,1,3,18,53,133,69,374,0,1677,2329
"TOTAL (UTs)","2007",8,19,16,69,300,1270,4209,6357,17271,0,39027,68546
"TOTAL (ALL-INDIA)","2007",295,477,465,2808,7626,20298,74650,78109,250359,92684,897410,1425181
"ANDHRA PRADESH","2008",16,20,22,159,343,1242,3430,3089,13308,0,59635,81264
"ARUNACHAL PRADESH","2008",1,1,4,22,71,100,370,217,1078,106,5307,7277
"ASSAM","2008",9,14,16,184,270,722,3310,1809,5853,2600,36942,51729
"BIHAR","2008",17,15,18,86,326,702,5604,4186,7198,0,41939,60091
"CHHATTISGARH","2008",6,13,16,118,213,535,1029,1591,5704,0,25136,34361
"GOA","2008",1,1,0,14,25,51,187,178,757,0,3413,4627
